Date,Open,High,Low,Close,Adj Close,Volume
2010-08-01,32308.880859,33022.089844,30916.050781,31679.849609,31679.849609,3461861700
2010-09-01,31680.589844,33530.828125,31680.589844,33330.339844,33330.339844,3054361800
2010-10-01,33332.210938,35630.101563,33332.050781,35568.218750,35568.218750,3850008900
2010-11-01,35573.718750,37153.941406,35551.281250,36817.320313,36817.320313,3368147400
2010-12-01,36817.320313,38550.789063,36817.320313,38550.789063,38550.789063,3047932600
2011-01-01,38552.871094,38876.761719,36622.570313,36982.238281,36982.238281,3297273600
2011-02-01,36983.570313,38014.878906,36318.550781,37019.699219,37019.699219,3340423200
2011-03-01,37019.699219,37563.988281,35358.871094,37440.511719,37440.511719,3467190800
2011-04-01,37440.101563,38091.179688,36090.648438,36962.621094,36962.621094,2891911000
2011-05-01,36970.460938,37056.851563,34811.679688,35832.789063,35832.789063,3915401800
2011-06-01,35838.609375,36823.058594,34573.390625,36558.070313,36558.070313,4298215600
2011-07-01,36556.398438,36917.519531,34923.468750,35999.339844,35999.339844,4616329000
2011-08-01,35993.621094,36299.429688,31659.300781,35721.101563,35721.101563,6461202600
2011-09-01,35727.210938,36143.531250,32077.900391,33503.281250,33503.281250,4889574800
2011-10-01,33504.601563,37334.148438,32258.390625,36159.988281,36159.988281,5734793000
2011-11-01,36162.210938,37560.800781,34573.039063,36829.148438,36829.148438,5055141200
2011-12-01,36828.949219,37510.781250,35567.339844,37077.519531,37077.519531,3454976800
2012-01-01,37334.660156,38128.398438,36428.421875,37422.679688,37422.679688,3961628800
2012-02-01,37425.191406,38413.191406,37425.191406,37816.691406,37816.691406,5344108800
2012-03-01,37816.238281,39567.988281,37380.628906,39521.238281,39521.238281,4185688800
2012-04-01,39523.320313,39963.640625,38062.140625,39461.000000,39461.000000,3443621400
2012-05-01,39459.398438,40050.210938,36756.078125,37872.949219,37872.949219,5356163400
2012-06-01,37870.261719,40248.421875,36898.519531,40199.550781,40199.550781,4704902200
2012-07-01,40203.679688,41600.589844,39692.429688,40704.281250,40704.281250,3665044800
2012-08-01,40698.558594,41383.789063,39390.578125,39421.648438,39421.648438,4342420600
2012-09-01,39409.429688,41155.359375,39409.429688,40799.238281,40799.238281,3852982200
2012-10-01,40876.968750,42750.988281,40876.968750,41619.960938,41619.960938,4522686000
2012-11-01,41618.539063,42206.140625,40247.621094,41833.519531,41833.519531,4664850000
2012-12-01,41822.539063,44000.179688,41820.320313,43705.828125,43705.828125,3798299800
2013-01-01,43703.980469,46075.039063,43703.980469,45278.058594,45278.058594,4460251400
2013-02-01,45278.718750,45785.960938,43294.718750,44120.988281,44120.988281,5010428700
2013-03-01,44100.921875,44323.621094,41881.308594,44077.089844,44077.089844,6585330200
2013-04-01,44052.261719,44466.738281,41624.488281,42263.480469,42263.480469,5651151800
2013-05-01,42266.941406,42851.679688,39468.128906,41588.320313,41588.320313,5768459600
2013-06-01,41587.628906,41590.171875,37034.300781,40623.300781,40623.300781,6298453800
2013-07-01,40624.339844,41285.199219,39290.250000,40837.878906,40837.878906,5162993500
2013-08-01,40838.738281,42781.839844,38953.089844,39492.371094,39492.371094,6490914100
2013-09-01,39491.128906,42195.121094,39352.718750,40185.230469,40185.230469,4429287200
2013-10-01,40185.511719,41458.898438,39648.109375,41038.648438,41038.648438,4427674300
2013-11-01,41028.839844,42575.621094,39136.148438,42499.128906,42499.128906,4543319800
